batsman_id,batsman_name,bowler_id,bowler_name,comm_text,dismissal_type,inns,is_dismissal,match,over_ball,runs,series
230852,Dean Elgar,326016,Bhuvneshwar Kumar,"starts with a poor delivery. Drifts down leg for an ODI wide, some inward shape to the left-hander",,1.0,False,1122276,0.1,0,18065
230852,Dean Elgar,326016,Bhuvneshwar Kumar,"and again. Full but swinging down leg, Elgar tries to flick it down for four but it's too wide. Another ODI wide down the leg side",,1.0,False,1122276,0.2,0,18065
230852,Dean Elgar,326016,Bhuvneshwar Kumar,"and India strike in the first over! A perfect comeback from Bhuvneshwar. After two leg side deliveries, he finds the one that seams away. Pitches on middle and leg, and because of that line, Elgar is caught into playing. Elgar pokes at the ball. The length is good too, not seaming away too much to beat the outside edge or seaming too less to find the outside half. A thin outside edge is easily taken by Saha. The ideal start for India.",caught,1.0,True,1122276,0.3,0,18065
43906,Hashim Amla,326016,Bhuvneshwar Kumar,"oh wow. That has pitched on a length outside off, 132 kph, and moved away prodigiously to beat the bat. It's <b>a jaffa</b> that even the quality of Amla can't get close to. A little less seam movement would have had Amla",,1.0,False,1122276,0.4,0,18065
43906,Hashim Amla,326016,Bhuvneshwar Kumar,strays down leg this time,,1.0,False,1122276,0.5,0,18065
43906,Hashim Amla,326016,Bhuvneshwar Kumar,"and again! What an over to start from India. Sensational start. Slightly fuller outside off, the ball pitched and seams away very late. Amla is opened up as he tries to defend. He'll now change his technique, play late, close to his body",,1.0,False,1122276,0.6,0,18065
600498,Aiden Markram,481896,Mohammed Shami,"BAT on BALL! 135 kph, full around off, not much swing or seam. Markram gets forward to defend. That's a confident stride",,1.0,False,1122276,1.1,0,18065
600498,Aiden Markram,481896,Mohammed Shami,"a bit of swing but very wayward. Full and wide, swinging away, an ODI wide again. Markram ain't bothered",,1.0,False,1122276,1.2,0,18065
600498,Aiden Markram,481896,Mohammed Shami,"full delivery outside off, Markram gets a massive stride forward to defend. The <strong>difference in length is</strong> discernible, Shami is much fuller, seeing if swing is there",,1.0,False,1122276,1.3,0,18065
600498,Aiden Markram,481896,Mohammed Shami,"full and wide outside off, some late away shape. Left alone watchfully. Some probing bowling already",,1.0,False,1122276,1.4,0,18065
600498,Aiden Markram,481896,Mohammed Shami,"good length outside off, defended towards point. 140 kph. A loud collective yelp of joy from the Newlands faithful",,1.0,False,1122276,1.5,1,18065
43906,Hashim Amla,481896,Mohammed Shami,"squeezed away into the leg side, towards midwicket. Full again, around off, Amla gets his bat down at an awkward angle, which is why the ball skews off the inside half past square leg, as opposed to mid-on",,1.0,False,1122276,1.6,2,18065
600498,Aiden Markram,326016,Bhuvneshwar Kumar,"good length outside off, shortish and wide, left alone",,1.0,False,1122276,2.1,0,18065
